Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zombieBusinesswomanKhz,entityclasses,Entity,,,Zombie Businesswoman,,Zombie-Geschäftsfrau,Empresaria zombi,Femme d'affaires zombie,Donna d'affari zombie,ゾンビビジネスウーマン,좀비 사업가,Zombie Bizneswoman,Mulher de Negócios Zumbi,Зомби-бизнесвумен,Zombi İş Kadını,僵尸女商人,殭屍女商人
zombieBusinesswomanFeralKhz,entityclasses,Entity,,,Feral Zombie Businesswoman,,Wilde Zombie-Geschäftsfrau,Empresaria zombi salvaje,Femme d'affaires zombie sauvage,Donna d'affari zombie selvaggia,野生のゾンビビジネスウーマン,야생 좀비 사업가,Dzika zombie bizneswoman,Mulher de Negócios Zumbi Selvagem,Дикая зомби-бизнесвумен,Vahşi Zombi İş Kadını,野性僵尸女商人,野性殭屍女商人
zombieBusinesswomanRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Businesswoman,,Verstrahlte Zombie-Geschäftsfrau,Empresaria zombi radiada,Femme d'affaires zombie irradiée,Donna d'affari zombie irradiata,放射線を浴びたゾンビビジネスウーマン,방사능 좀비 사업가,Promieniowana zombie bizneswoman,Mulher de Negócios Zumbi Radiada,Бизнесвумен-зомби с радиацией,Radyasyonlu Zombi İş Kadını,辐射僵尸女商人,輻射殭屍女商人
zombieBusinesswomanChargedKhz,entityclasses,Entity,,,Charged Zombie Businesswoman,,Aufgeladene Zombie-Geschäftsfrau,Empresaria zombi cargada,Une femme d'affaires zombie accusée,Donna d'affari zombie accusata,チャージドゾンビビジネスウーマン,충전된 좀비 사업가,Naładowana zombie-biznesmenka,Empresária Zumbi Acusada,Заряженная зомби-бизнесвумен,Suçlu Zombi İş Kadını,充满电的僵尸女商人,充滿電的殭屍女商人
zombieBusinesswomanInfernalKhz,entityclasses,Entity,,,Infernal Zombie Businesswoman,,Höllische Zombie-Geschäftsfrau,Empresaria zombi infernal,Femme d'affaires zombie infernale,Donna d'affari zombie infernale,地獄のゾンビビジネスウーマン,지옥의 좀비 사업가,Piekielna zombie bizneswoman,Mulher de Negócios Zumbi Infernal,Адская зомби-бизнесвумен,Cehennem Zombi İş Kadını,地狱僵尸女商人,地獄殭屍女商人
zombieCowgirlKhz,entityclasses,Entity,,,Zombie Cowgirl,,Zombie-Cowgirl,Vaquera zombi,Cowgirl zombie,Cowgirl zombi,ゾンビカウガール,좀비 카우걸,Zombie Cowgirl,Cowgirl Zumbi,Зомби-ковбой,Zombi Kovboy Kız,僵尸女牛仔,殭屍女牛仔
zombieCowgirlFeralKhz,entityclasses,Entity,,,Feral Zombie Cowgirl,,Wildes Zombie-Cowgirl,Vaquera zombi salvaje,Cowgirl zombie sauvage,Cowgirl zombi selvaggia,野生のゾンビカウガール,야생 좀비 카우걸,Dzika zombie kowbojka,Cowgirl Zumbi Selvagem,Дикая зомби-девушка-ковбой,Vahşi Zombi Kovboy Kız,野性僵尸女牛仔,野殭屍女牛仔
zombieCowgirlRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Cowgirl,,Verstrahltes Zombie-Cowgirl,Vaquera zombi radiada,Cowgirl zombie irradiée,Zombie Cowgirl irradiata,放射線ゾンビカウガール,방사형 좀비 카우걸,Promieniowana zombie kowbojka,Cowgirl Zumbi Radiada,Радиационная зомби-девушка-ковбой,Radyasyonlu Zombi Kovboy Kız,辐射僵尸女牛仔,輻射殭屍女牛仔
zombieCowgirlChargedKhz,entityclasses,Entity,,,Charged Zombie Cowgirl,,Aufgeladenes Zombie-Cowgirl,Vaquera zombi cargada,Cowgirl zombie chargée,Cowgirl zombi carica,チャージドゾンビカウガール,충전된 좀비 카우걸,Naładowana zombie kowbojka,Cowgirl Zumbi Acusada,Заряженная зомби-девушка-ковбой,Yüklü Zombi Kovboy Kız,充能僵尸女牛仔,充能殭屍女牛仔
zombieFemaleKhz,entityclasses,Entity,,,Zombie Woman,,Zombie-Frau,Mujer zombi,Femme zombie,Donna Zombie,ゾンビウーマン,좀비 우먼,Kobieta Zombie,Mulher Zumbi,Женщина-зомби,Zombi Kadın,僵尸女人,殭屍女人
zombieFemaleFeralKhz,entityclasses,Entity,,,Feral Zombie Woman,,Wilde Zombiefrau,Mujer zombi salvaje,Femme zombie sauvage,Donna zombi selvaggia,野生のゾンビ女,야생 좀비 여자,Dzika Kobieta Zombie,Mulher Zumbi Selvagem,Дикая женщина-зомби,Vahşi Zombi Kadın,野性僵尸女人,野殭屍女人
zombieFemaleRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Woman,,Verstrahlte Zombiefrau,Mujer zombi radiada,Femme zombie irradiée,Donna Zombie Radiata,放射線を浴びたゾンビ女,방사형 좀비 여성,Promieniowana Kobieta Zombie,Mulher Zumbi Radiada,Женщина-зомби с радиацией,Radyasyonlu Zombi Kadın,辐射僵尸女人,輻射殭屍女人
zombieFemaleChargedKhz,entityclasses,Entity,,,Charged Zombie Woman,,Aufgeladene Zombiefrau,Mujer zombi cargada,Femme zombie chargée,Donna zombie carica,チャージドゾンビウーマン,충전된 좀비 여성,Naładowana Kobieta Zombie,Mulher Zumbi Acusada,Заряженная женщина-зомби,Yüklü Zombi Kadın,充能僵尸女,儲能殭屍女
zombieFemaleLumberjackKhz,entityclasses,Entity,,,Zombie Female Lumberjack,,Zombie-Holzfällerin,Leñadora zombi,Bûcheron zombie,Boscaiolo donna zombi,ゾンビの女性木こり,좀비 여성 벌목꾼,Zombie Kobieta Drwal,Lenhadora Zumbi,Зомби-дровосека,Zombi Kadın Oduncu,僵尸女伐木工,殭屍女伐木工
zombieFemaleLumberjackFeralKhz,entityclasses,Entity,,,Feral Zombie Female Lumberjack,,"Wilder Zombie, weiblicher Holzfäller",Leñadora zombi salvaje,Bûcheron zombie sauvage,Boscaiolo femmina zombi selvaggia,野生のゾンビ女性木こり,야생 좀비 여성 벌목꾼,Dzika Zombie Drwalka,Lenhadora Zumbi Selvagem,Дикая зомби-женщина-дровосека,Vahşi Zombi Kadın Oduncu,野性僵尸女伐木工,野性殭屍女伐木工
zombieFemaleLumberjackRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Female Lumberjack,,Verstrahlte Zombie-Holzfällerin,Leñadora zombi radiada,Bûcheron zombie irradié,Boscaiolo femmina zombie irradiata,放射線を浴びたゾンビの女性木こり,방사능 좀비 여성 벌목꾼,Promieniowana zombie drwalka,Lenhadora Zumbi Radiada,"Женщина-дровосек-зомби, излучающая радиацию",Radyasyonlu Zombi Kadın Oduncu,辐射僵尸女伐木工,輻射殭屍女伐木工
zombieFemaleLumberjackInfernalKhz,entityclasses,Entity,,,Infernal Zombie Female Lumberjack,,Höllische Zombie-Holzfällerin,Leñadora zombi infernal,Bûcheron zombie infernal,Boscaiolo femmina zombi infernale,地獄のゾンビ女木こり,지옥의 좀비 여성 벌목꾼,Piekielna Zombie Drwalka,Lenhadora Zumbi Infernal,Адская зомби-женщина-дровосека,Cehennem Zombisi Kadın Oduncu,地狱僵尸女伐木工,地獄殭屍女伐木工
zombieFemaleOfficeKhz,entityclasses,Entity,,,Zombie Female Office Worker,,Zombie-Büroangestellte,Trabajadora de oficina zombi,Employée de bureau zombie,Impiegata zombie,ゾンビ女性会社員,좀비 여성 사무직 근로자,Zombie Pracownica biurowa,Trabalhadora de escritório zumbi,Офисная работница-зомби,Zombi Kadın Ofis Çalışanı,僵尸女职员,殭屍女職員
zombieFemaleOfficeFeralKhz,entityclasses,Entity,,,Feral Zombie Female Office Worker,,Wilde Zombie-Büroangestellte,Trabajadora de oficina zombi salvaje,Employée de bureau zombie sauvage,Impiegata d'ufficio zombie selvaggia,野生のゾンビ女性会社員,야생 좀비 여성 사무직 근로자,Dzika zombie pracownica biurowa,Trabalhadora de escritório zumbi selvagem,Дикая зомби-женщина-офисная работница,Vahşi Zombi Kadın Ofis Çalışanı,野性僵尸女职员,野殭屍女職員
zombieFemaleOfficeRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Female Office Worker,,Verstrahlte Zombie-Büroangestellte,Trabajadora de oficina zombi radiada,Employée de bureau zombie irradiée,Impiegata d'ufficio zombie irradiata,放射線ゾンビの女性会社員,방사능 좀비 여성 사무직 근로자,Promieniowana zombie pracownica biurowa,Trabalhadora de escritório zumbi irradiada,"Женщина-офисный работник, зараженная радиацией и зомби",Radyasyona Maruz Kalan Zombi Kadın Ofis Çalışanı,辐射僵尸女职员,輻射殭屍女職員
zombieFemaleOfficeChargedKhz,entityclasses,Entity,,,Charged Zombie Female Office Worker,,Aufgeladene Zombie-Büroangestellte,Trabajadora de oficina zombi cargada,Employée de bureau zombie chargée,Impiegata d'ufficio zombie accusata,ゾンビ女性会社員のチャージ,충전된 좀비 여성 사무직 근로자,Oskarżona zombie pracownica biurowa,Trabalhadora de escritório zumbi acusada,Заряженная зомби-женщина-офисная работница,Suçlu Zombi Kadın Ofis Çalışanı,充满电的僵尸女职员,充飽電的殭屍女職員
zombieFemaleOfficeInfernalKhz,entityclasses,Entity,,,Infernal Zombie Female Office Worker,,Höllen-Zombie-Büroangestellte,Trabajadora de oficina zombi infernal,Employée de bureau zombie infernale,Impiegata d'ufficio zombie infernale,地獄のゾンビ女性OL,지옥의 좀비 여성 사무직 근로자,Piekielna zombie pracownica biurowa,Trabalhadora de escritório zumbi infernal,Адская зомби-офисная работница,Cehennem Zombisi Kadın Ofis Çalışanı,地狱僵尸女职员,地獄殭屍女職員
zombieFemaleSoldierKhz,entityclasses,Entity,,,Zombie Female Soldier,,Zombie-Soldatin,Soldado zombi femenino,Soldat zombie,Soldato donna zombie,ゾンビ女性兵士,좀비 여군,Żołnierka-zombie,Soldado Zumbi Feminino,Женщина-солдат-зомби,Zombi Kadın Asker,僵尸女兵,殭屍女兵
zombieFemaleSoldierFeralKhz,entityclasses,Entity,,,Feral Zombie Female Soldier,,Wilde Zombie-Soldatin,Soldado zombi salvaje,Soldat zombie sauvage,Soldato zombie selvaggio,野生のゾンビ女性兵士,야생 좀비 여성 군인,Żołnierz-zombie,Soldado Zumbi Selvagem,Дикая зомби-женщина-солдат,Vahşi Zombi Kadın Asker,野性僵尸女兵,野殭屍女兵
zombieFemaleSoldierRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Female Soldier,,Verstrahlte Zombie-Soldatin,Soldado zombi radiado,Soldat zombie irradié,Soldato zombie irradiato,放射線を浴びたゾンビの女性兵士,방사능에 오염된 좀비 여군,Promieniowana zombie-żołnierka,Soldado Zumbi Radiado,"Женщина-солдат-зомби, подвергшаяся радиационному воздействию",Radyasyonlu Zombi Kadın Asker,辐射僵尸女兵,輻射殭屍女兵
zombieFemaleSoldierInfernalKhz,entityclasses,Entity,,,Infernal Zombie Female Soldier,,Höllenzombie-Soldatin,Soldado zombi infernal,Soldat zombie infernal,Soldato donna zombi infernale,地獄のゾンビ女兵士,지옥의 좀비 여군,Piekielna zombie-żołnierka,Soldado Zumbi Infernal,Адская зомби-женщина-солдат,Cehennem Zombisi Kadın Asker,地狱僵尸女兵,地獄殭屍女兵
zombieFirefighterKhz,entityclasses,Entity,,,Zombie Firefighter,,Zombie-Feuerwehrmann,Bombero zombi,Pompier zombie,Pompiere zombi,ゾンビ消防士,좀비 소방관,Strażak Zombie,Bombeiro Zumbi,Зомби-пожарный,Zombi İtfaiyeci,僵尸消防员,殭屍消防員
zombieFirefighterFeralKhz,entityclasses,Entity,,,Feral Zombie Firefighter,,Wilder Zombie-Feuerwehrmann,Bombero zombi salvaje,Pompier zombie sauvage,Pompiere zombi selvaggio,野生のゾンビ消防士,야생 좀비 소방관,Dziki Strażak Zombie,Bombeiro Zumbi Selvagem,Дикий зомби-пожарный,Vahşi Zombi İtfaiyeci,野性僵尸消防员,野殭屍消防員
zombieFirefighterRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Firefighter,,Verstrahlter Zombie-Feuerwehrmann,Bombero zombi radiactivo,Pompier zombie irradié,Pompiere zombi irradiato,放射線を浴びたゾンビ消防士,방사능 좀비 소방관,Napromieniowany zombie strażak,Bombeiro Zumbi Radiado,Радиационный зомби-пожарный,Radyasyonlu Zombi İtfaiyeci,辐射僵尸消防员,輻射殭屍消防員
zombieFirefighterChargedKhz,entityclasses,Entity,,,Charged Zombie Firefighter,,Aufgeladener Zombie-Feuerwehrmann,Bombero zombi cargado,Pompier zombie chargé,Pompiere zombie carico,チャージドゾンビ消防士,충전된 좀비 소방관,Naładowany zombie-strażak,Bombeiro Zumbi Acusado,Заряженный зомби-пожарный,Yüklü Zombi İtfaiyeci,充能僵尸消防员,充能殭屍消防員
zombieFirefighterInfernalKhz,entityclasses,Entity,,,Infernal Zombie Firefighter,,Höllen-Zombie-Feuerwehrmann,Bombero zombi infernal,Pompier zombie infernal,Pompiere zombi infernale,地獄のゾンビ消防士,지옥의 좀비 소방관,Piekielny Strażak Zombie,Bombeiro Zumbi Infernal,Адский зомби-пожарный,Cehennem Zombi İtfaiyecisi,地狱僵尸消防员,地獄殭屍消防員
zombieMaleKhz,entityclasses,Entity,,,Zombie Man,,Zombie Man,Hombre zombi,L'homme zombie,Uomo Zombie,ゾンビマン,좀비맨,Człowiek Zombie,Homem Zumbi,Человек-зомби,Zombi Adam,僵尸人,殭屍人
zombieMaleFeralKhz,entityclasses,Entity,,,Feral Zombie Man,,Wilder Zombie-Mann,Hombre zombi salvaje,Homme zombie sauvage,Uomo zombi selvaggio,野生のゾンビマン,야생 좀비 맨,Dziki Człowiek Zombie,Homem Zumbi Selvagem,Дикий зомби-человек,Vahşi Zombi Adam,野性僵尸人,野殭屍人
zombieMaleRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Man,,Verstrahlter Zombie-Mann,Hombre zombi irradiado,Homme zombie irradié,Uomo Zombie Radiato,放射線ゾンビマン,방사형 좀비맨,Napromieniowany Człowiek-Zombi,Homem Zumbi Radiado,Радиационный зомби-человек,Radyasyonlu Zombi Adam,辐射僵尸人,輻射殭屍人
zombieMaleChargedKhz,entityclasses,Entity,,,Charged Zombie Man,,Aufgeladener Zombie-Mann,Hombre zombi cargado,Homme zombie chargé,Uomo Zombie Caricato,チャージドゾンビマン,충전된 좀비맨,Naładowany Zombie Man,Homem Zumbi Acusado,Заряженный зомби-человек,Yüklü Zombi Adam,充能僵尸人,儲能殭屍人
zombieMaleScrubsKhz,entityclasses,Entity,,,Healthcare Worker,,Mitarbeiter im Gesundheitswesen,Trabajador de la salud,Travailleur de la santé,Operatore sanitario,医療従事者,의료 종사자,Pracownik służby zdrowia,Trabalhador da saúde,Медицинский работник,Sağlık Çalışanı,医护人员,醫護人員
zombieMaleScrubsFeralKhz,entityclasses,Entity,,,Feral Healthcare Worker,,Wilder Gesundheitshelfer,Trabajador sanitario salvaje,Travailleur de la santé sauvage,Operatore sanitario selvaggio,野生の医療従事者,야생 의료 종사자,Pracownik służby zdrowia dzikich zwierząt,Trabalhador de saúde selvagem,Дикий медицинский работник,Vahşi Sağlık Çalışanı,野性医护人员,野性醫護人員
zombieMaleScrubsRadiatedKhz,entityclasses,Entity,,,Radiated Healthcare Worker,,Bestrahlter Mitarbeiter im Gesundheitswesen,Trabajador sanitario irradiado,Travailleur de la santé irradié,Operatore sanitario irradiato,放射線を浴びた医療従事者,방사선 의료 종사자,Pracownik służby zdrowia narażony na promieniowanie,Trabalhador de saúde irradiado,"Медицинский работник, подвергшийся облучению",Radyasyona Maruz Kalan Sağlık Çalışanı,接受放射治疗的医护人员,接受放射治療的醫護人員
zombieMaleScrubsChargedKhz,entityclasses,Entity,,,Charged Healthcare Worker,,Angeklagter Mitarbeiter im Gesundheitswesen,Trabajador de la salud acusado,Un professionnel de la santé accusé,Operatore sanitario accusato,起訴された医療従事者,기소된 의료 종사자,Pracownik służby zdrowia obciążony opłatą,Trabalhador de saúde acusado,Обвиняемый работник здравоохранения,Suçlu Sağlık Çalışanı,被指控的医护人员,被指控的醫護人員
zombieMaleSoldierKhz,entityclasses,Entity,,,Zombie Male Soldier,,Männlicher Zombie-Soldat,Soldado zombi masculino,Soldat zombie,Soldato maschio zombi,ゾンビ男性兵士,좀비 남성 군인,Zombie Żołnierz,Soldado Zumbi Masculino,Зомби-солдат,Zombi Erkek Asker,僵尸男士兵,殭屍男士兵
zombieMaleSoldierFeralKhz,entityclasses,Entity,,,Feral Zombie Male Soldier,,Wilder Zombie-Soldat,Soldado zombi salvaje masculino,Soldat zombie sauvage,Soldato maschio zombi selvaggio,野生のゾンビ男性兵士,야생 좀비 남성 군인,Dziki zombie-żołnierz,Soldado Zumbi Selvagem,Дикий зомби-солдат,Vahşi Zombi Erkek Asker,野性僵尸男士兵,野殭屍男士兵
zombieMaleSoldierRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Male Soldier,,Verstrahlter männlicher Zombiesoldat,Soldado zombi masculino irradiado,Soldat zombie irradié,Soldato maschio zombi irradiato,放射線を浴びたゾンビの男性兵士,방사능에 오염된 좀비 남성 군인,Napromieniowany zombie-żołnierz,Soldado Zumbi Masculino Radiado,Радиационный зомби-солдат,Radyasyonlu Zombi Erkek Asker,辐射僵尸男士兵,輻射殭屍男士兵
zombieMaleSoldierInfernalKhz,entityclasses,Entity,,,Infernal Zombie Male Soldier,,Höllischer Zombie-Soldat,Soldado zombi infernal masculino,Soldat zombie infernal,Soldato maschio zombi infernale,地獄のゾンビ男性兵士,지옥의 좀비 남성 군인,Piekielny Zombie Żołnierz,Soldado Zumbi Infernal Masculino,Адский зомби-солдат,Cehennem Zombi Erkek Asker,地狱僵尸男兵,地獄殭屍男兵
zombiePolicewomanKhz,entityclasses,Entity,,,Zombie Policewoman,,Zombie-Polizistin,Mujer policía zombi,Policière zombie,Poliziotta Zombie,ゾンビ婦人警官,좀비 경찰관,Policjantka Zombie,Policial Zumbi,Зомби-полицейский,Zombi Polis Kadını,僵尸女警,殭屍女警
zombiePolicewomanFeralKhz,entityclasses,Entity,,,Feral Zombie Policewoman,,Wilde Zombie-Polizistin,Mujer policía zombi salvaje,Policière zombie sauvage,Poliziotta zombi selvaggia,野生のゾンビ婦人警官,야생 좀비 경찰관,Dzika policjantka zombie,Policial Zumbi Selvagem,Дикая зомби-полицейская,Vahşi Zombi Polis Kadını,野性僵尸女警,野性殭屍女警
zombiePolicewomanRadiatedKhz,entityclasses,Entity,,,Radiated Zombie Policewoman,,Verstrahlte Zombie-Polizistin,Mujer policía zombi radiada,Policière zombie irradiée,Poliziotta zombie irradiata,放射線を浴びたゾンビ婦人警官,방사능 좀비 경찰관,Policjantka-zombie napromieniowana,Policial Zumbi Radiada,"Женщина-полицейский-зомби, зараженная радиацией",Radyasyonlu Zombi Polis Kadını,辐射僵尸女警,輻射殭屍女警
zombiePolicewomanInfernalKhz,entityclasses,Entity,,,Infernal Zombie Policewoman,,Höllische Zombie-Polizistin,Policía zombi infernal,Policière zombie infernale,Poliziotta Zombie Infernale,地獄のゾンビ婦人警官,지옥의 좀비 경찰관,Piekielna Policjantka Zombie,Policial Zumbi Infernal,Адская зомби-полицейская,Cehennem Zombi Polis Kadını,地狱僵尸女警,地獄殭屍女警
